,icao24,typecode
0,004014,B772
1,00600c,E190
2,00600d,E190
3,006016,B737
4,006023,B737
5,008080,E190
6,008081,E190
7,00808c,E190
8,008126,A320
9,008187,B738
10,0081ef,A320
11,00834b,E190
12,00834c,E190
13,00834d,E190
14,008378,E190
15,0083c3,A320
16,008b8f,E190
17,008de1,B738
18,008de2,B738
19,008de3,B738
20,008de4,B738
21,008de5,B738
22,008de6,B738
23,008de8,B738
24,008dea,B738
25,008dee,B738
26,008df3,B738
27,008df8,B738
28,008df9,B738
29,008feb,A320
30,008ff4,A320
31,008ff8,A320
32,008ffa,A320
33,008ffb,A320
34,008fff,A320
35,009002,A320
36,009130,E190
37,009131,E190
38,009132,E190
39,009803,A320
40,009d4a,A320
41,00a11e,E190
42,00a3b9,E190
43,00a3bb,E190
44,00a693,E190
45,00ae2a,E190
46,00ae2b,E190
47,00ae2c,E190
48,00ae3a,E190
49,00ae6e,E190
50,00ae88,E190
51,00aec9,B737
52,00af60,A320
53,00b02e,A333
54,00b032,E190
55,00b035,E190
56,00b083,B738
57,00b084,B738
58,00b085,B738
59,00b086,B738
60,00b087,B738
61,00b088,B738
62,00b089,B738
63,00b08a,B738
64,00b08d,B738
65,00b08e,B738
66,00b08f,B738
67,00b090,B738
68,00b091,B738
69,00b092,B738
70,00b094,B738
71,00b095,B738
72,00b096,B738
73,00b097,B738
74,00b098,B738
75,00b099,B738
76,00b1f7,A333
77,00b1f8,A333
78,00b1f9,A333
79,00b1fa,A333
80,00b1fb,A333
81,00b223,A320
82,00b224,A320
83,00b225,A320
84,00b226,A320
85,00b227,A320
86,00b228,A320
87,00b229,A320
88,00b22a,A320
89,00b22b,A320
90,00b22c,A320
91,00b23b,A320
92,00b23c,A320
93,00bf71,E190
94,00bf72,E190
95,00bf8a,E190
96,00c451,B738
97,00c452,B738
98,00c453,B738
99,00c454,B738
100,00c455,B738
101,00c456,B738
102,00c457,B738
103,00c458,B738
104,00c459,B738
105,00c45d,B738
106,00c45f,B738
107,00c460,B738
108,00c461,B738
109,00c462,B738
110,00c463,B738
111,00c464,B738
112,00c465,B738
113,00c466,B738
114,00c469,B738
115,010011,A320
116,010012,A320
117,010013,A320
118,010014,A320
119,010015,A320
120,010016,A320
121,010017,A320
122,01001d,A320
123,010029,B772
124,01002a,B772
125,010090,A320
126,010091,A320
127,010092,A320
128,010093,A320
129,010094,A320
130,0100db,B738
131,0100dc,B738
132,0100dd,B738
133,0100de,B738
134,0100df,B738
135,0100e0,B738
136,0100e4,A320
137,0100e5,A320
138,0100e6,A320
139,0100e7,A320
140,0100f6,B738
141,010108,B738
142,010109,B738
143,01010a,B738
144,01010b,B738
145,01010c,B738
146,01010d,B738
147,010112,A320
148,010116,A320
149,010117,A320
150,010121,A320
151,010125,A320
152,01012a,B77W
153,01012b,B77W
154,01013b,A320
155,01013c,B77W
156,01013d,B77W
157,010140,A320
158,010141,A320
159,010143,A333
160,010144,B738
161,010145,B738
162,010146,B738
163,010147,B738
164,010153,B77W
165,010154,B77W
166,01015c,A333
167,01015d,A333
168,01015e,A333
169,010160,B738
170,010161,B738
171,010162,B738
172,010163,B738
173,01017b,A320
174,01018d,A320
175,010193,A320
176,010194,A320
177,010195,A320
178,010199,B738
179,0101a5,A320
180,0101a7,A320
181,0101a8,B738
182,0101b4,A320
183,0101b6,B738
184,0101b7,B738
185,0101b8,B738
186,0101b9,B738
187,0101ba,B738
188,0101bb,B738
189,0101bc,B738
190,0101bd,B738
191,0101be,B738
192,0101bf,A320
193,0101cb,B738
194,0101cd,A320
195,0101ce,B738
196,0101d9,B738
197,0101e1,A320
198,0101e3,B737
199,0101e4,B737
200,0101f8,E190
201,0101f9,E190
202,0101fa,A320
203,01022b,A320
204,010230,B748
205,010231,A320
206,010233,A320
207,010235,B738
208,010236,A320
209,010237,A320
210,010238,B738
211,01023d,A320
212,01023e,A320
213,01023f,B738
214,010248,A320
215,010249,A320
216,01024a,A320
217,010255,A320
218,010257,E190
219,010258,E190
220,010259,E190
221,01025a,A320
222,01025f,B738
223,010260,B738
224,010261,B738
225,010267,A320
226,010268,B738
227,010269,A320
228,01026a,A320
229,01801f,B738
230,018020,B738
231,01802e,A320
232,01802f,A320
233,018057,A320
234,018061,A320
235,018065,A320
236,01806b,A320
237,018070,A320
238,018077,A320
239,018078,A320
240,01807a,A320
241,018082,A333
242,018083,A320
243,018084,A333
244,018099,A320
245,0180a0,A320
246,0180a1,A320
247,0180a2,A320
248,0180a3,A320
249,0180a4,A320
250,0180a6,A320
251,0180a8,A320
252,0180ab,A320
253,0180ac,A320
254,0180ad,B772
255,02000f,B744
256,020017,B738
257,020018,B738
258,02001b,B737
259,02001c,B737
260,020025,B738
261,020026,B737
262,020027,B737
263,020044,B738
264,020045,B737
265,020053,B738
266,020057,B738
267,020058,B738
268,02005a,B738
269,02005b,B738
270,020065,B737
271,020066,B738
272,02006e,B738
273,02006f,B738
274,020072,B738
275,020073,B738
276,02007a,B738
277,02007d,B738
278,02008b,B738
279,020092,B738
280,020095,B738
281,0200ae,B738
282,0200af,B738
283,0200cc,B738
284,0200de,E190
285,0200e8,B738
286,0200ea,B738
287,0200eb,B738
288,0200ec,B738
289,0200ed,B738
290,0200ef,B738
291,0200f8,B738
292,0200f9,A320
293,0200fb,B738
294,020104,B738
295,020105,B738
296,020108,A320
297,02010d,A320
298,020110,E190
299,020111,E190
300,020112,E190
301,020113,E190
302,020118,A320
303,020120,B748
304,020124,A320
305,020127,A320
306,02012b,A320
307,02012c,B738
308,020130,B748
309,020140,A320
310,020145,A320
311,020175,A320
312,020176,A320
313,020177,A320
314,02019b,B738
315,02019c,A320
316,02019d,A320
317,02a043,B738
318,02a087,B738
319,02a181,A320
320,02a182,A320
321,02a183,A320
322,02a184,A320
323,02a185,A320
324,02a186,A320
325,02a187,A320
326,02a188,A320
327,02a18b,A320
328,02a18c,A320
329,02a18d,A320
330,02a18f,A320
331,02a191,A320
332,02a192,A320
333,02a193,A320
334,02a194,A320
335,02a195,A320
336,02a196,A320
337,02a1a0,A320
338,02a1a1,A320
339,02a1a2,A320
340,02a1a3,A320
341,02a1a4,A320
342,02a1a5,A320
343,02a1a6,A320
344,02a1a7,A320
345,02a1aa,A320
346,02a1ae,A320
347,02a1af,A320
348,02a1b0,A320
349,02a1b1,A320
350,02a1b2,A320
351,02a1b3,A320
352,02a1b4,A320
353,02a1ce,B737
354,02a260,A320
355,02a261,A320
356,02a262,A320
357,02a263,A320
358,034044,B737
359,034066,B737
360,0364d3,B737
361,03842b,A320
362,038433,A320
363,038656,A320
364,03e00a,B772
365,04000f,B737
366,040011,B737
367,040013,B737
368,040014,B737
369,040021,B737
370,040029,B737
371,04002a,B737
372,04002f,B77L
373,040030,B77L
374,040031,B77L
375,040032,B77L
376,040033,B77L
377,040039,B738
378,04003a,B738
379,04003b,B738
380,040056,B738
381,04005b,B738
382,04005c,B738
383,04005d,B738
384,04005e,B738
385,040060,B77L
386,040062,B77L
387,040065,B77W
388,040066,B77W
389,040075,B77L
390,040076,B738
391,040077,B738
392,040078,B738
393,040079,B738
394,04007a,B738
395,040085,B737
396,040086,B737
397,04008a,B77L
398,04008b,B77L
399,04008c,B77L
400,04008d,B77L
401,040104,B738
402,040105,B77W
403,040106,B77W
404,04012d,B738
405,04012e,B738
406,040156,B77L
407,040157,B737
408,040158,B737
409,040159,B77L
410,04015c,B77L
411,040168,B77L
412,040176,B738
413,040185,B738
414,04018b,B738
415,040202,B738
416,04020b,B738
417,040228,B738
418,040229,B738
419,04022a,B77L
420,040230,B738
421,040231,B738
422,04200a,B737
423,0428ea,B77L
424,0429da,B738
425,0429db,B738
426,04c009,E190
427,04c014,E190
428,04c01e,E190
429,04c025,B737
430,04c026,B737
431,04c027,B737
432,04c03b,B738
433,04c044,B738
434,04c045,B738
435,04c0b4,E190
436,04c0d4,E190
437,04c0d8,E190
438,04c0da,E190
439,04c0db,E190
440,04c0e0,E190
441,04c0e1,E190
442,04c0e2,E190
443,04c0e3,E190
444,04c0fa,B77W
445,04c0fb,E190
446,04c106,E190
447,04c115,E190
448,04c147,B738
449,04c148,B738
450,04c149,B738
451,04c14a,B738
452,04c14b,B738
453,04c186,A320
454,04c1fe,B772
455,04c234,E190
456,04c241,E190
457,04c2a6,B738
458,04c2a9,A320
459,04c2f6,B738
460,05400b,B738
461,05a054,A320
462,05c075,B737
463,05e051,B737
464,05e054,B738
465,05e05c,E75L
466,05e05d,E75L
467,05e0bb,B737
468,062f2e,B737
469,064051,B737
470,06409c,B737
471,06409d,B737
472,0640a5,B737
473,0640a6,B737
474,0640c2,B738
475,0640c3,B738
476,0640c4,B737
477,0640c9,B737
478,0640d5,B738
479,0640d6,B738
480,06410e,B744
481,0641d7,B744
482,0641d8,B744
483,0641ee,B772
484,064218,B744
485,064260,B738
486,0642ed,B772
487,0642f3,E75L
488,06a00f,A320
489,06a016,A320
490,06a017,A320
491,06a01b,A320
492,06a022,A320
493,06a023,A320
494,06a027,A320
495,06a028,A320
496,06a029,A320
497,06a02d,A320
498,06a02e,A320
499,06a031,A333
500,06a032,A333
501,06a03c,A333
502,06a03d,A333
503,06a03e,A333
504,06a040,A333
505,06a041,A333
506,06a042,A333
507,06a04a,A333
508,06a04c,A333
509,06a052,B77W
510,06a053,B77W
511,06a05d,A333
512,06a060,A333
513,06a061,A333
514,06a062,B77W
515,06a063,B77W
516,06a064,B77W
517,06a066,B77L
518,06a068,B77L
519,06a069,B77W
520,06a070,B77W
521,06a071,B77W
522,06a072,B77W
523,06a073,B77L
524,06a074,B77L
525,06a075,B77L
526,06a076,B77L
527,06a077,B77W
528,06a078,B77W
529,06a079,B77W
530,06a07a,B77W
531,06a07b,B77W
532,06a07c,B77W
533,06a07d,B77L
534,06a07e,B77L
535,06a07f,B77L
536,06a080,B77L
537,06a081,B77L
538,06a083,B77W
539,06a087,A320
540,06a088,A320
541,06a089,A320
542,06a08d,A320
543,06a08e,A320
544,06a08f,A320
545,06a091,A320
546,06a092,A320
547,06a093,A320
548,06a094,A320
549,06a095,A320
550,06a096,A320
551,06a097,A320
552,06a098,A320
553,06a099,A320
554,06a09a,A320
555,06a09b,A320
556,06a09c,A320
557,06a09e,A320
558,06a0a2,B748
559,06a0a4,A320
560,06a0db,B77L
561,06a0dc,B77W
562,06a0dd,B77L
563,06a0de,B77L
564,06a0df,B77L
565,06a136,B77W
566,06a137,B77W
567,06a138,B77W
568,06a139,B77W
569,06a13a,B77W
570,06a13b,B77W
571,06a13c,B77W
572,06a13d,B77W
573,06a140,B77L
574,06a141,B77L
575,06a152,A320
576,06a153,A320
577,06a157,A320
578,06a158,A320
579,06a159,A320
580,06a15a,A320
581,06a18d,A320
582,06a19d,B77W
583,06a19e,B77W
584,06a19f,B77W
585,06a1b8,A320
586,06a1b9,A320
587,06a1bb,B77W
588,06a1bc,B77W
589,06a1bd,B77W
590,06a1be,B77W
591,06a1bf,B77W
592,06a1c0,B77W
593,06a1c4,A320
594,06a1c5,A320
595,06a1df,A320
596,06a1e0,A320
597,06a1e1,A320
598,06a1e2,A320
599,06a1e4,B748
600,06a1e6,B77L
601,06a1e7,B77L
602,06a1e8,B77L
603,06a1e9,B77L
604,06a1ea,B77L
605,06a1eb,B77L
606,06a1ec,B77L
607,06a1ed,B77L
608,06a2af,B77W
609,06a2b0,B77W
610,06a2b1,B77W
611,06a2b2,B77W
612,06a2b3,B77W
613,06a2b4,B77W
614,06a2b5,B77W
615,06a2b6,B77W
616,06a2b7,B77W
617,06a2b8,B77W
618,06a2c3,B748
619,06a2c4,B77W
620,06a2c5,B77W
621,06a2c6,B77W
622,06a2c7,B77W
623,06a2c8,B748
624,06a2c9,B748
625,06a2de,B77L
626,06a2df,B77L
627,06a2e0,B77L
628,06a2e1,B77L
629,06a2e2,B77L
630,06a2e3,B77L
631,06a30a,B77L
632,06a30b,B77L
633,06a30c,B77L
634,06a30d,B77L
635,06a372,B77W
636,06a373,B77W
637,06a374,B77W
638,06a375,B77W
639,06a376,B77W
640,06a377,B77W
641,06a37c,B77W
642,06a383,B77L
643,06a38c,B77W
644,06a38d,B77W
645,06a390,B77L
646,06a391,B77L
647,06e005,B738
648,06e006,B738
649,06e00b,B737
650,06e00c,B737
651,06e010,A333
652,06e011,B738
653,06e012,B738
654,06e024,B738
655,06e029,B738
656,07403b,A320
657,07403d,A320
658,07c058,A320
659,07c068,B738
660,07c069,B738
661,07c06a,B738
662,07c06b,B738
663,07c08f,B738
664,084002,B737
665,08a0fe,B738
666,08ce88,B738
667,08ceaf,A320
668,08cec9,A320
669,08cecb,A320
670,08cecd,A333
671,08cefc,A320
672,090058,B772
673,090059,B772
674,09005f,B737
675,090060,B737
676,090061,B737
677,090062,B737
678,090079,B737
679,09007a,B772
680,090091,B737
681,0900bb,B77W
682,0900bc,B77W
683,0900d6,B737
684,0900db,B77W
685,0900f0,B77W
686,0900f1,B77W
687,090143,B738
688,090144,B737
689,090145,B737
690,096019,A320
691,096023,B737
692,096024,E190
693,09a050,A320
694,09c035,E190
695,09c039,E75L
696,0a0018,B738
697,0a0019,B738
698,0a001a,B738
699,0a001b,B738
700,0a0020,B738
701,0a0021,B738
702,0a0022,B738
703,0a0049,B738
704,0a004a,B738
705,0a004b,B738
706,0a0074,B738
707,0a0075,B738
708,0a0076,B738
709,0a0077,B738
710,0a0078,B738
711,0a0079,B738
712,0a007a,B738
713,0a007b,B738
714,0a007c,B738
715,0a007d,B738
716,0a007e,B738
717,0a008a,B738
718,0a008b,B738
719,0a008c,B738
720,0a008d,B738
721,0a008e,B738
722,0a008f,B738
723,0a0090,B738
724,0a0091,B738
725,0a0092,B737
726,0a0093,B737
727,0a009a,B738
728,0a009b,B738
729,0a009c,B738
730,0a806f,B737
731,0a80a3,B737
732,0a80c2,B737
733,0a80cd,B737
734,0ac06d,E190
735,0ac06f,E190
736,0ac070,E190
737,0ac09e,E190
738,0ac0d2,E190
739,0ac0d3,E190
740,0ac14d,A320
741,0ac14e,A320
742,0ac14f,A320
743,0ac151,A320
744,0ac162,A320
745,0ac30e,A320
746,0ac324,A320
747,0ac329,A320
748,0ac34d,A320
749,0ac360,A320
750,0ac36a,A320
751,0ac380,A320
752,0ac384,A320
753,0ac3a8,B737
754,0ac3cb,A320
755,0ac3cc,A320
756,0ac3ce,A320
757,0ac3cf,A320
758,0ac3d0,A320
759,0ac3d1,A320
760,0ac3e7,A320
761,0ac40c,A320
762,0ac40d,A320
763,0ac40e,A320
764,0ac95a,A320
765,0ac95b,A320
766,0ac95d,A320
767,0ac96b,A320
768,0ac98a,A320
769,0aca66,A320
770,0aca67,A320
771,0aca68,A320
772,0aca69,A320
773,0aca78,B737
774,0aca79,B737
775,0aca7a,A320
776,0aca89,A320
777,0aca8d,A320
778,0aca8e,A320
779,0acaa7,B737
780,0acaac,A320
781,0acabf,A320
782,0acac0,A320
783,0acac1,A320
784,0acac2,A320
785,0acac6,A320
786,0c2005,B737
787,0c2006,B737
788,0c2007,B737
789,0c2008,B737
790,0c2009,B737
791,0c200a,B737
792,0c200b,B737
793,0c200c,B737
794,0c200f,B737
795,0c2010,B737
796,0c2011,B738
797,0c2012,B738
798,0c2016,B737
799,0c2017,B737
800,0c2018,B738
801,0c201e,E190
802,0c201f,E190
803,0c2023,E190
804,0c2024,E190
805,0c2025,B737
806,0c2026,B737
807,0c2027,E190
808,0c2028,E190
809,0c202b,B738
810,0c202c,B738
811,0c202d,E190
812,0c202e,E190
813,0c202f,E190
814,0c2031,E190
815,0c2034,E190
816,0c2038,E190
817,0c2039,E190
818,0c203a,B738
819,0c203b,B738
820,0c203d,E190
821,0c203e,E190
822,0c2045,B738
823,0c2046,B738
824,0c2047,B738
825,0c204c,B738
826,0c204f,B738
827,0c2050,B738
828,0c2051,B738
829,0c2052,B738
830,0c2059,B738
831,0c205b,B738
832,0c205c,B738
833,0c205d,B738
834,0c205e,B738
835,0c205f,B738
836,0c2061,B738
837,0c2063,B738
838,0c2064,B738
839,0c2065,B738
840,0c2068,B738
841,0c2069,B738
842,0c206a,B738
843,0c206b,B738
844,0c206c,B738
845,0c2070,B738
846,0c2073,B738
847,0c2074,B738
848,0c2075,B738
849,0c2076,B738
850,0c2077,B738
851,0c2081,B738
852,0c2082,B738
853,0c2083,B738
854,0c2084,B738
855,0c208c,B738
856,0c208d,B738
857,0c208e,B738
858,0c2093,B738
859,0c2094,B738
860,0c2095,B738
861,0c2096,B738
862,0c20a4,B738
863,0c20a5,B738
864,0c20a6,B738
865,0c20a7,B738
866,0c20a8,B738
867,0c20ab,B738
868,0c20ac,B738
869,0c20ad,B738
870,0c20b4,B738
871,0c20b5,B738
872,0c20b6,B738
873,0c20b9,B738
874,0c20ba,B738
875,0c20bb,B738
876,0c20bc,B738
877,0c20bd,B738
878,0c20be,B738
879,0c20c9,B738
880,0c20ce,B738
881,0c20cf,B738
882,0c20d5,B738
883,0c20d6,B738
884,0c4181,A320
885,0c4341,A320
886,0c4349,E190
887,0c434a,B737
888,0c434b,E190
889,0c4352,E190
890,0c6013,B738
891,0c6014,B738
892,0c6015,B738
893,0c6016,B738
894,0c6017,B738
895,0c6018,B738
896,0c602e,B738
897,0c602f,B738
898,0c6030,B738
899,0c6031,B738
900,0c6032,B738
901,0c6034,B738
902,0c8019,B772
903,0c8023,B738
904,0c8031,B738
905,0ca56d,B738
906,0d001d,B738
907,0d001e,B738
908,0d0022,B738
909,0d0081,A320
910,0d009c,A320
911,0d00bc,B737
912,0d00bd,B737
913,0d0244,B737
914,0d0273,B737
915,0d0303,B737
916,0d0305,B737
917,0d0351,A320
918,0d0352,A320
919,0d0353,A320
920,0d0369,A320
921,0d036a,A320
922,0d036b,A320
923,0d0370,A320
924,0d0380,E190
925,0d0381,E190
926,0d039b,B737
927,0d03f1,A320
928,0d03f3,E190
929,0d03f4,E190
930,0d03fb,A320
931,0d0418,A320
932,0d0458,A320
933,0d0459,A320
934,0d049e,A320
935,0d049f,A320
936,0d04ae,E190
937,0d04af,E190
938,0d04b5,A320
939,0d04b9,A320
940,0d04df,E190
941,0d0514,E190
942,0d053c,A320
943,0d0540,A320
944,0d0541,A320
945,0d05a9,A320
946,0d05ad,A320
947,0d05ce,A320
948,0d05d1,A320
949,0d05d2,A320
950,0d05e1,A320
951,0d05e4,E190
952,0d0600,A320
953,0d0629,A320
954,0d0631,A320
955,0d0632,A320
956,0d0633,A320
957,0d0641,A320
958,0d0644,A320
959,0d0648,E190
960,0d0649,A320
961,0d064b,A320
962,0d0657,E190
963,0d0682,A320
964,0d0683,A320
965,0d0689,E190
966,0d06a7,E190
967,0d06c1,E190
968,0d06d3,E190
969,0d06de,E190
970,0d06e5,E190
971,0d06f4,A320
972,0d06f6,E190
973,0d06fd,E190
974,0d0703,E190
975,0d0707,B738
976,0d070a,A320
977,0d0710,B738
978,0d071b,B738
979,0d072b,A320
980,0d072f,A320
981,0d075f,B738
982,0d0760,B738
983,0d0771,B738
984,0d0775,A320
985,0d0776,A320
986,0d07a8,A320
987,0d07b3,A320
988,0d07b9,A320
989,0d07ba,A320
990,0d07bc,E190
991,0d07e3,A320
992,0d07f0,B738
993,0d07f6,A320
994,0d07f7,A320
995,0d07fe,A320
996,0d0804,B738
997,0d0805,B738
998,0d0806,B738
999,0d080e,E190
1000,0d080f,E190
1001,0d0810,E190
1002,0d0812,A320
1003,0d081c,A320
1004,0d083b,E190
1005,0d083e,E190
1006,0d083f,E190
1007,0d0848,E190
1008,0d085f,A320
1009,0d0866,A320
1010,0d0867,A320
1011,0d087c,E190
1012,0d0890,E190
1013,0d08a5,B738
1014,0d08b1,E190
1015,0d08b3,B738
1016,0d08c7,A320
1017,0d08e6,A320
1018,0d08ee,B738
1019,0d08ef,B738
1020,0d08f3,A320
1021,0d08fd,A320
1022,0d0924,A320
1023,0d0932,A320
1024,0d0934,A320
1025,0d0939,A320
1026,0d0947,A320
1027,0d094c,A320
1028,0d0963,A320
1029,0d0971,B738
1030,0d0984,A320
1031,0d0986,A320
1032,0d0987,A320
1033,0d0993,A320
1034,0d0997,A320
1035,0d099a,A320
1036,0d099d,A320
1037,0d099e,A320
1038,0d09a3,A320
1039,0d09a5,E190
1040,0d09a9,B738
1041,0d09b1,A320
1042,0d09b9,E190
1043,0d09bd,A320
1044,0d09bf,A320
1045,0d09c2,A320
1046,0d09c7,A320
1047,0d09ce,A320
1048,0d09dc,A320
1049,0d09e7,B738
1050,0d09f3,A320
1051,0d09f6,E190
1052,0d09f8,A320
1053,0d09fb,E190
1054,0d0a08,A320
1055,0d0a0f,E190
1056,0d0a13,B738
1057,0d0a1a,E190
1058,0d0a26,A320
1059,0d0a2c,E190
1060,0d0a3a,E190
1061,0d0a3b,B738
1062,0d0a4c,E190
1063,0d0a62,E190
1064,0d0a77,A320
1065,0d0a78,B738
1066,0d0a7a,E190
1067,0d0a84,A320
1068,0d0a85,A320
1069,0d0a8d,B738
1070,0d0a8e,B738
1071,0d0a92,E190
1072,0d0aa0,E190
1073,0d0aab,A320
1074,0d0aba,E190
1075,0d0ac1,E190
1076,0d0ac8,A320
1077,0d0aca,A320
1078,0d0acf,E190
1079,0d0ae8,E190
1080,0d0b0f,E190
1081,0d0b66,B738
1082,0d0b67,B738
1083,0d0b76,B737
1084,0d0b77,B737
1085,0d0c2c,B738
1086,0d0c8f,B738
1087,0d0cdd,A320
1088,0d0cec,A320
1089,0d0d6f,B738
1090,0d0d72,B738
1091,0d0d83,B738
1092,0d0d91,B738
